service_name,service_category
Consultation - *All new clients*,Locs
"Cut, Relaxer","Women's Haircut, Relaxers"
"Acrylic Fill w/ Gel Polish, Cut Down",Manicure
Hybrid Mixed Volume/Classic Set,Eyelashes
6/8 Feed In Braids To The Side,Braids
"Silk press, Weave take down",Natural Hair
Short Faux Locs,"Locs, Twists"
Adult Haircut 18+,Men's Haircut
"Full Highlight and cut/style, All over color with highlights and cut",Hair Color
"Enhanced Adult Haircut without Beard, Beard Trim",Barber
"Rebalance Deluxe Art, Acrylic/HardGel CUT DOWN",Manicure
"Brow Wax, Nose, Toes, or Fingers",Eyebrows
"Trim, CorkScrewSet, Protein Treatment",Hair Treatments
Full foil Highlights,Highlights
"Medium Havana Twist, Add accessories","Braids, Twists"
"Pedicure, Nail-Shellac",Pedicure
"Womens Hair Cut, Eye brow wax, Lip wax","Eyebrows, Waxing"
Classic Synthetic Eyelash Full Set,Eyelashes
12 Microdermabrasion & 12 Peels,Skincare
2 layer Style of Choice,Braids
CLASSIC Eyelash Extensions Full Set,Eyelashes
"Acrylic 2-week Fill in, Polish change, Casualty (of War)",Manicure
Ponytails  with weave,Weaves
"45 Min Relaxation Massage, Lip Wax",Waxing
"Women's Cut, Full Foil Highlights (Shoulder length and shorter)","Women's Haircut, Highlights"
"Color, palm roll maintenance",Locs
"Men design, Wash",Braids
"Half Head Highlights, Women's Cut",Women's Haircut
No-Damage Silk Press,Natural Hair
"Women's Cut, Protein treatment","Women's Haircut, Hair Treatments"
"Quick Weaves Bobs Or Long Hair, Blowout and Deep Condtion",Natural Hair
Classic Refill - 2 week,Eyelashes
AMIT,Barber
"Partial foil long, Womens haircut, Wax, Lip/Extra wax, Toner",Hair Color
The Express,"Barber, Men's Haircut"
Basic Bikini,Waxing
"Women's Cut, Regrowth touch up",Women's Haircut
A partial color foils,Hair Color
Braided Ponytail Stlyes,Braids
Foundation braids with wash,Braids
"Polish change, Acrylic Fill in",Manicure
"Adult Haircut, Teen Haircut",Men's Haircut
"Lash Fill, Men's Haircut",Eyelashes
Silk flat iron,Natural Hair
"Volume Lash Fill, Brow Wax",Waxing
"Dimensional Partial Highlight, Toner, Womans Haircut & Style",Hair Color
"Partial Balayage, Add on with service Color, Add on with service Haircut",Highlights
"Shampoo&Style, Relaxer",Relaxers
Traditional Sew In Install,Weaves
"Goddess braids, Detangle hair",Braids
Exfoliation Peel,Skincare
"Consultacao Gratuita, Balayage, Olaplex cabelos curtos, Gloss",Hair Color
"Full Highlights, Women's Cut, Split End Repair treatment","Highlights, Women's Haircut"
"All over color, Toner, Women's Haircut",Hair Color
Christmas Specail ? Balayage Cut Deep Conditioner,"Hair Treatments, Highlights, Women's Haircut"
Men - Gel Manicure,Manicure
"Women's Cut, Kid's haircut",Women's Haircut
"Highlight, Women's Cut, Brow wax","Women's Haircut, Eyebrows"
"Brazilian Sugaring - Ladies, Brow Shaping, Arm Sugaring - Full","Sugaring, Eyebrows"
"Highlight (Partial), Olaplex treatment, Trim w/service, Childs Cut",Hair Treatments
"Full Color, Wet cut or trim w chemical service, Olpalex in color treatment, Pre bleaching/lifting",Hair Treatments
"color wig, Women's Trim, Women's Cut",Women's Haircut
"Shampoo (Short Length), Hot Oil Treatment","Sets & Styles, Natural Hair"
"take down, Silk press",Natural Hair
"Lash Lift, Eyebrows",Eyelashes
"All Over Color, Blowout, Women's Cut","Hair Color, Style, Women's Haircut"
"Wash & Go, Crochet Braids",Braids
Full color and cut,"Hair Color, Women's Haircut"
"Blowout, Trim","Style, Women's Haircut"
"Sew-In, Weave take down",Women's Haircut
"closure sew in, weave takeout",Weaves
"Microdermabrasion Face only, Lash tint",Eyelashes
"Full Weave (little leave out), Extensions",Extensions
"toner, Women's Cut","Hair Color, Women's Haircut"
"Shampoo/Silk Press/Style, Honey Hydration Treatment, Trim","Natural Hair, Hair Treatments"
2-4 Feed-In,Braids
SEMIPERMANENT COLOR/as extra service,Hair Color
"Spa Pedicure, No Chip Add on, Acrylic Fill SHORT NAILS",Pedicure
"Crochet Braids,twist, or Locs",Braids
"Noninvasive Lipo, Herbal Body Wrap, Body Scrub, Vsteam",Massage
Spong hair cuts 4 men,Barber
"Single Process Color/Haircut, Eyebrow wax","Hair Color, Eyebrows"
"Men's Cut, T-Zone retouch",Men's Haircut
"Acrylic Fill, Cut Down, Reshaping, Gel polish for Acrylic nails, Gel top coat Matte/Glossy",Manicure
Partial fill,Eyelashes
"Olaplaex Treatment, Women's Hair Cut, Wash and Set","Hair Treatments, Women's Haircut, Sets & Styles"
"Relaxer retouch, Cut or trim add on",Relaxers
Braidless track extensions,Extensions
"Double Process Loc Color, Loc Retwist (Full Head), MEDIUM Loc Ropes/Plaits/Barrels","Hair Color, Locs"
Partial Sew-In Service,Weaves
"Partial Highlight, Women's Cut, Eyebrow Shaping","Highlights, Women's Haircut, Eyebrows"
Full sew in / Silk Press,"Style, Weaves"
"SHAMPOO STYLE, Partial Relaxer",Relaxers
"silk press, hair cut","Natural Hair, Women's Haircut"
"Hair Tint, Women’s Dry Cut","Hair Color, Women's Haircut"
"Brow and lip wax, Arms Wax (Half), Sideburns Wax",Waxing
"5 Stitch Feed-Ins, Small Braids for 2-5 braids",Braids
Corn rows -  2 Corn rows,Braids
"root color, fade, Women's Cut","Barber, Women's Haircut"
"Full Highlights, pHbonder, Gloss, Women's Haircut w/ Color",Highlights
"root touch up, extension tightening",Hair Color
Mink  Lash Extensions *BACK TO SCHOOL SPECIAL!* -  Classic Set,Eyelashes
Short Hair Fantasy Color,Hair Color
"Partial Highlight, Color Retouch, Womens Cut",Women's Haircut
Eyekandians full set members only,Eyelashes
Shampoo & Style Medium to Long Hair,Sets & Styles
"Color & Cut, Wax Services","Hair Color, Women's Haircut"
4 feed in braids,Braids
Large Waist Length Rope Twist,Twists
"Kids haircut, Brow wax",Eyebrows
"Brazilian Wax, Lower Back Wax",Waxing
60 Minute Custom Facial,Skincare
QuickWeave,Weaves
"Brow Tint, Blowvember","Eyebrows, Style"
Long Acrylic Fill,Manicure
Square full set,Manicure
GlamWeave Express (Value Sewin Including Hair),"Extensions, Weaves"
The Black Fox,"Barber, Men's Haircut"
"Express Facial, Brow Wax, Brow tint, Nose Wax","Eyebrows, Waxing"
"Woman's Cut, Deep Conditioning Treatment",Hair Treatments
"Sew-In Removal, Sew-In w/ Lace Closure, Deep Conditioning Treatment",Hair Treatments
Men's Trim/Edge up,Men's Haircut
"COLOR SERVICES (TEMP), Women's Cut",Women's Haircut
"Toner, Eyebrow wax","Hair Color, Eyebrows"
Wedding guest styles,Special Occasion Style
"Foil, Women's Cut","Highlights, Women's Haircut"
"color, Women's Cut","Hair Color, Women's Haircut"
"Royal silkpress, Saran wrap(add on for silkpress)",Women's Haircut
Lash touch up one week or less,Eyelashes
"Facial, Brow Wax, Full face, Nose wax","Skincare, Eyebrows, Waxing"
8 feeding braids,Braids
One on One Training,Eyelashes
"All Over Color, Babylight, Women's Cut, Toning(gloss)","Hair Color, Women's Haircut"
"Women's Trim, Flat Iron","Women's Haircut, Style"
"Accent highlights (10 foils), Root touch up",Hair Color
"Eyelash Full Set, Lash refill",Eyelashes
"Eyebrow tint, Eyebrow  Wax (maintenance)",Eyebrows
"Women's Cut, Toning Gloss",Women's Haircut
Full Color and Partial Highlight,"Hair Color, Highlights"
"Loc retwist, Partial Color, Loc Style","Locs, Hair Color"
"Perm, Woman's haircuts",Chemical Perms
Small Feed In Braids in a Ponytail,Braids
Styling (curling/styling only),Style
"Full Leg Wax, Seasonal Enzyme -‘Cherry Chocolate, Eyebrow Wax","Waxing, Eyebrows"
Polish Change (hands),Manicure
4wk lash fill,Eyelashes
"4 - 6 week root touch up., Eyebrow Wax",Eyebrows
"Loc maintenance, Pipe cleaners  set",Locs
"Men's Cut, Kid's Cut 12 & under",Men's Haircut
"Full Set of Acrylic Nails(Tips), Pedicure",Pedicure
TREE BRAIDS,Braids
"Silk Out, Extension take down, Tame My Ends (Trim), Protein Conditioning Treatment","Natural Hair, Extensions, Women's Haircut, Hair Treatments"
"Braid take out, Crochet Braids",Braids
"Sudatonic Body Slimming Wrap, Ice Coffee for Cellulite","Skincare, Massage"
"One-Step Process, Colored hair Treatment","Hair Color, Hair Treatments"
"Oxygen Facial, Add Ons",Skincare
"Root Touch Up, Upgrade - Accent Highlight",Hair Color
"Shampoo and Style, Deep Conditioner Only-add on",Sets & Styles
"Chin length tt, PEOPLE WITH DANDRUFF PLEASE READ",Women's Haircut
Acrylic Overlay W/ Gel Polish,Manicure
NEW CLIENT CONSULT,Natural Hair
"Manicure, Basic Pedicure",Pedicure
"Chic Silk Out (READ INFO), COLOR RETOUCH","Natural Hair, Sets & Styles"
"braid down, hot oil treatment",Natural Hair
"Full Foil Highlights, Hair Glaze Treatment, Deep Conditioning Treatment","Highlights, Hair Treatments"
"Wash and Go, Dry Scalp Therapy",Natural Hair
Women’s Cut,Barber
"Silk Press, Adult 2 Braids(boxer braids)","Natural Hair, Braids"
"$20 Tuesday Gel Polish, Nail Repair",Manicure
"Highlights (starting prices), Women's Cut",Women's Haircut
"Brazilian Blowout, Haircut and blowdry",Straightening Treatments
Full Set of tape in extentions,Extensions
Retighten Closure,Weaves
College students only!,Men's Haircut
"Silk Press, Add on Trim",Natural Hair
Cluster Extensions,Eyelashes
"Children s Cuts, Eyebrow Wax",Eyebrows
"Shampoo and Style, Double Process Color","Sets & Styles, Hair Color"
"Demi Permanent Color, Women's Cut",Women's Haircut
Natural Hair/silk press,"Natural Hair, Sets & Styles, Style"
GelPedicure,Pedicure
"Full highlight, Men's Cut",Men's Haircut
"Full foil, Color, Cut, Flat Iron/Curling Iron Add On","Hair Color, Highlights, Style"
"Hair Color Rinse, Afro Natural Hair Straightening","Sets & Styles, Natural Hair"
"Color retouch, Bang trim",Women's Haircut
"demi permanent color, relaxers","Hair Color, Chemical Perms"
"Highlights (mini), Color & Cut","Highlights, Hair Color"
"Blowout, Basic Boost Smoothing Treatment",Style
Sew In W/ Leave Out,Weaves
"partial weave, Olaplex added to color, Toning added to color service, Haircut added to color service",Weaves
"Acrylic Fill, Toe polish, Toe polish and clean and cut, Pixie dust, Toe Fill",Manicure
"Color retouch, Eyebrow or Lip wax","Hair Color, Eyebrows"
Palm Roll Technique ~ mohawk,Locs
Root Touch Up + Women's Cut,"Hair Color, Women's Haircut"
"Women’s Dry Cut, Eyebrow Shaping, Relaxer","Women's Haircut, Eyebrows, Relaxers"
"Eyebrow Wax - Custom Shaping, Lip Wax",Waxing
"Men's Cut, Teenager (16-18) haircut",Men's Haircut
SENIOR PAPARAZZI DOLLS SEWIN DEAL,Weaves
"Lip Wax, Chin Wax, Half Leg Wax, Brow Tinting",Waxing
B*G*LUXURIOUS SIGNATURE Spa  FACIAL,Skincare
Feedin Braids (med),Braids
"color touch up, Women's Cut, Add on Blow dry finish w/color service",Women's Haircut
"Color/Glitter Acrylic Fullset, Nail Soak Off",Manicure
"Loc repair (per loc), Mid back length, Loc reconstruction (per loc)","Women's Haircut, Locs"
"Full weave, Color touch up, Women's cut no style",Weaves
"Female Brazilian Wax, Brow Wax, Brow Tint","Waxing, Eyebrows"
"Fillin, Designs, Stones (half nail)",Manicure
Edge-up ?,Barber
"COLOR MELT, BLOWOUT","Hair Color, Style"
Hybrid Full Set- Mixed,"Eyebrows, Eyelashes"
"Natural Hair Blow Out, Scalp treatment",Hair Treatments
"Bottom Lash 2 Week Fill, Volume 2 Wk Eyelash Fill",Eyelashes
Toner / Alternative color,Hair Color
"Full-Set (eyelash extensions), Lash Removal",Eyelashes
Relaxer ( Touch Up),Relaxers
"Perm, Cut & Style w/ Service",Chemical Perms
"$30 Wednesday Special, kids braid",Sets & Styles
"Fill W/Gel polish, Pedicure","Manicure, Pedicure"
Small/Medium Box Braids (Waist),Braids
Twist Out (Large),Twists
"Brazillian Wax, Underarms, Legs (Full)",Waxing
2 Week Hybrid  Fill,Eyelashes
"Full Foil Highlights, Hair Glaze Treatment","Highlights, Hair Treatments"
"Partial Color, Retouch",Hair Color
Men’s Fade/Taper with add-ons,Barber
Small Box Braids (click info),Braids
"Braids, Up Do","Braids, Style"
"Basic Pedicure, Nail Art (2 nails)","Pedicure, Manicure"
Men's cut with goatee,Men's Haircut
"Small feeder braid updo/ponytail, Strip lashes","Braids, Eyelashes"
"Quick Weave Bob, Late fee",Weaves
"Brow Wax and Tint, Hydrating Facial",Eyebrows
Sewin Per Track,Weaves
Partial Classic Set,Eyelashes
"2 Feed-In Braids, Added Cornrows {between large cornrows}",Braids
"Color/cut, Smoothing treatment",Hair Treatments
"Rod Set, Demi Permanent, Deep Moisturizing Condition, Sew-In Removal","Natural Hair, Hair Color"
"Spa Pedicure, Acrylic Fills",Pedicure
"Transitioning Cut, Women's Cut, Men's Cut","Natural Hair, Women's Haircut, Men's Haircut"
"Eyebrow Tint, Brow Wax",Eyebrows
"Toner, Color Touch up",Hair Color
"Diva Silk Wrap (natural hair), Hair Cut","Style, Women's Haircut"
Adult Tape up/ Line up,"Barber, Men's Haircut, Women's Haircut"
"Women's Haircut, Shampoo and Style",Sets & Styles
"Hair cut and blow dry, Add-on Trim, Color retouch, Iron Works Add on","Style, Women's Haircut"
Brazilian blow out,Straightening Treatments
"Women's Cut, Lip Wax, Eyebrow wax","Women's Haircut, Waxing, Eyebrows"
5 to 7 Feed in braids,Braids
"Brazilian-Women only, Lip Wax, Brow Waxing, chin wax",Waxing
Classic lash Full Set,Eyelashes
"Full Highlight, Treatment+Style, Haircut","Hair Treatments, Highlights"
"Natural Shampoo & Hair Artistry, Hair Cut","Natural Hair, Twists"
"Women's Luxury haircut, Buzz cut",Barber
Partial Bonded Weave,Weaves
Hybrid  Full Set,Eyelashes
"Full color, Women's Cut, Additional color, Toner","Women's Haircut, Hair Color"
"Partial Weave, Women's Cut, Toner/Refresher","Weaves, Women's Haircut"
Medium Senegalese Twist,Twists
"Partial Foil, Brow Wax, Bang Trim","Eyebrows, Women's Haircut"
"Extensions booked by consultation only, Color Touch-up","Extensions, Hair Color"
"Relaxer Touch Up, Cellophane, Hair Trim",Relaxers
Men  Regular Hair Cut,Men's Haircut
Gel Polish Change( Hands/Toes),Manicure
Wednesday’s ONLY! 2 Braids,Braids
"Regrowth (roots), Partial Highlight, Ladies 14+",Hair Color
"balayage, Women and Men's cuts",Highlights
"Hot Oil Treatment, Added Demi-Semi -Perm. Hair color",Natural Hair
"Install Tighten & Style, Take Down",Weaves
"Brazilian Wax, Underarm Wax",Waxing
"Root Touch-Up, Toner",Hair Color
"Flat Iron, Shampoo & Style",Style
"Haircut Womens, Pedicure, Gel Manicure","Pedicure, Manicure"
"All In  Fill, Client Appreciation Credit",Manicure
SOUNDS LIKE FUN/WEDDING PREP,Special Occasion Style
Balayage 1/2 Head Partial,Highlights
"10 pack foil, Women's Cut",Women's Haircut
"Braids, Trim, Deep Condition",Braids
"Basing, Toner",Hair Color
"Quick weave, Conditioning treatment",Weaves
"Silk press, Intensity semi -color Add on, ***Early Bird Fee***Please read**",Natural Hair
WASH/ SILK PRESS,Sets & Styles
6 or more Waist Length Feed In Braids(up to 10),Braids
"Blowout, Natural Blowout with cut, Kerafena  (softening treatment)",Style
Small knotless box braids (waist),Braids
"Crochet Braids, shampoo conditon blowdry, Trim",Braids
"Rinse, Relaxer Retouch",Sets & Styles
"$75 Volume Fill In, Eyelash Extension Removal",Eyelashes
"Full Relaxer, Semi Permanent Color",Hair Color
Basic  Sew In,Weaves
*May Special Quickweave,Weaves
"Feminine Hair Cut, Shampoo, and Style",Women's Haircut
"Blowout, Cut, Treatments",Style
"Pampering, Eyebrow Wax",Eyebrows
"Shampoo & Roller Set, Protein Treatment",Hair Treatments
Deluxe Thermal Beard Care,Barber
(BASIC) Loc Style,Locs
"Women's Cut, Shine gloss add on",Women's Haircut
"deep conditioning treatment, shampoo and flat iron, Trim","Hair Treatments, Style"
Kids(under5)basic cut no shape up,Barber
Haircut(Fade) No beard,"Barber, Men's Haircut"
"Men's Cut, Kids cut  ages 1-12",Men's Haircut
Glamset Eyelash Fill,Eyelashes
"Fill In, Gel Color Polish or Topcoat, Crystal Nail Art",Manicure
"Retwist Medium Locs, Double Strand Long/Small Locs",Locs
"Eyebrow Shaping, Lash Extensions Full Set Volume, Eyebrow Tinting",Eyebrows
Relaxer Touch up for short hair & Styled,Hair Color
"Full highlights, Women's Haircut (add on for color )",Highlights
"Gel Polish, Women's Cut, tint retouch",Women's Haircut
"Pedicure, Acrylic Fill/Balance Gel Polish, Polish Change","Pedicure, Manicure"
"Crochet braids, Weave removal",Braids
"Acrylic Nails, Soak off, Polish Change",Manicure
"Women's Haircut, Base Root Touch-Up Only, Balayage",Highlights
Adult Grooming (19 and up),Men's Haircut
Quick Weave 27 Piece magic,Weaves
"Highlights & Low Lights, Hair Cut","Highlights, Women's Haircut"
"Partial balayage, Add on haircut",Highlights
"single process color, Shampoo and cut",Hair Color
Polish Change - Toes,Manicure
"Polish change, Discounted mani",Manicure
"Consultation, Women's Cut and Style, Eyebrow Wax",Eyebrows
"Root Touch Up, Women's Cut & Style","Hair Color, Women's Haircut"
"Silk Press, Basic Women's Cut",Natural Hair
"Shampoo set with Style, Razor eyebrow arch","Style, Eyebrows"
"Full Hi Light, Women's Cut",Women's Haircut
"Blow Out, Hot Heads Extension Service",Style
Men's Cut/shampoo,Men's Haircut
beard trim,Men's Haircut
"Kids 10 & under small braids, Kids CornRow Styled",Braids
"Anal bleaching, Bikini Wax",Waxing
"Sew in takeout, Rinse, Full Sew-In","Sets & Styles, Weaves"
"Brow Tint, Brow Shaping ( waxing and tweezing)",Eyebrows
"relaxer, demi, toner",Relaxers
"retouch, Women's Cut",Women's Haircut
"foil highlights, Silk Press","Natural Hair, Style"
"Balayage, Ombre, Women Precision HairCut",Highlights
"Kid's Hair cut, Eyebrow Wax",Eyebrows
CLASSY LASH FULL SET,Eyelashes
"Weave maintenance, Shampoo/blow dry add on",Weaves
"Balayage, Cut With a Color Service",Highlights
45 Minute Classic Fill,Manicure
"Add on Styling, Silk Wrap, Semi Permanent Color","Special Occasion Style, Sets & Styles, Hair Color"
Brazilian Blow-out,Straightening Treatments
"Women's Cut/Style, Extra Color, qudrant foil.","Women's Haircut, Hair Color"
"Partial Sew-In, Late Fee",Weaves
"Shampoo and style, Partial Relaxer",Sets & Styles
Haircut with beard Trim,"Barber, Men's Haircut"
"Loc Maintenance, Loc Updo",Locs
"Mens Haircut, Brow Wax",Eyebrows
Silk Press ( pass bra strap),Natural Hair
Shampoo& Style,Sets & Styles
"Sew In Maintenance, Closure Touch Up",Weaves
"Brazilian Wax, Nostril Wax",Waxing
Gel/Shellac Manicure,Manicure
"Full Foil, Brow Wax",Eyebrows
"MANICURES, PEDICURE",Pedicure
Crochet Braids all singles,Braids
GelX Nails One Color,Manicure
"Color Correction, Women's Cut Add-On",Hair Color
Mother’s Day Special,Eyelashes
"Womens cut, Partial highlight",Women's Haircut
"Full Sew In, Sew In Removal, Shampoo",Weaves
"Color Touch-Up, Women's Haircut, Eyebrow Wax, Toner","Eyebrows, Hair Color"
"brow wax, Shine Treatment, Haircut with Color Service",Eyebrows
Box Braids Medium Mid Back,Braids
"“The Marissa”, Ear Candling",Skincare
Tribal braids Cornrows,Braids
"Partial Sew in, Bob cuts",Weaves
"All over color w/ partial foil, Cut w/ chemical service, Eyebrow Wax",Women's Haircut
2-3 PART INSTALL(TOTAL PACKAGE),"Extensions, Weaves"
Sew In (partial),Weaves
"Hot Oil Treatment, Blowout","Natural Hair, Style"
"Partial Color, Silk Press (Natural)",Hair Color
"Relaxer-touch up, Wand curls",Relaxers
Silk Press/Flatiron,Natural Hair
"Brow Lip and Chin wax, Womens Brazilian wax, Mens Brazilian Wax, Back wax, Brow wax","Waxing, Eyebrows"
Partial Foil Highlights With Olaplex,Highlights
7-8 Feeder Braids,Braids
Curl Of Weave Only,Chemical Perms
"Crochet braids, Shampoo service, Braids removal",Braids
"Pedicure, SNS Fill in, Gel Polish",Pedicure
FULL FACE WAX,Waxing
"Body Wave, Brow Wax",Eyebrows
Cut (big chop),Natural Hair
"Shampoo and Style, Relaxer Touch Up, Style","Sets & Styles, Relaxers, Style"
"Eyebrow Wax, Tint and Individual Lash",Eyebrows
Braids (natural hair)-shoulder,Braids
"Eyebrow Wax, Color (retouch)",Eyebrows
"Soak Off, Acrylic Overlay, 2 Designs, French or American Manicure (Add-On)",Manicure
"Toner, Women's Cut/Style",Hair Color
"Retouch Color, Flat iron, Child Hair Cut (12 and under)",Style
"Bikini Brazilian, Leg Lower/Upper, Underarms, Eyebrows",Waxing
Womens hair cut,Women's Haircut
"(Mix) Lash Fill Plus 4 weeks, Brow Wax, Eyelash/Brow tint",Eyebrows
"Color retouch, Olaplex, Women's Cut",Women's Haircut
"Women's Haircut & Style, Root Touch Up, Men's Cut","Women's Haircut, Hair Color, Men's Haircut"
"Skin Ceuticals Glycolic GL Peels, Dermaplaning",Skincare
"Shellac or Gel Polish, Lip Wax",Waxing
"Shampoo/Style, Spot relax, Fade out",Style
Makeup One on One lesson,Makeup
"Individual lashes, Removal",Eyelashes
"Basic Shampoo, Semi-Permanent Color",Hair Color
Sew-In with Frontal,Weaves
Woman's Silk Blowouts,Natural Hair
"Spa Pedicure, Acrylic Fill, No Chip Add on",Pedicure
"Add Wash and Blowout (Come fully detangled), Add Small Braids Between, 2 Feed-in Braids",Braids
Eyelash Fill from other artist,Eyelashes
"Acrylic Fill, Gel Pedicure, Manicure - Polish","Manicure, Pedicure"
"Single color root touch-up, Haircut with any color service",Women's Haircut
Medium Knotless Individuals,Braids
Haircut & beard,Barber
"Ladies haircut, Men's Cut",Men's Haircut
"Silk Press, Scalp Treatment",Hair Treatments
Kids cut with design,Barber
Small feed in Braids updo,Braids
"Highlight/Foils, Silk Press","Highlights, Natural Hair"
"Crochet Braids, Demi Permanent",Braids
"Eyebrow Clean-up, Shape and Tint, Lash Lift/Curl","Eyebrows, Eyelashes"
"Color, Women's Cut, Few Highlights-Add on",Women's Haircut
July Fri. Closure,Weaves
"Women's Cut, Individual Foils/Accent Color Pop, Single Process Color","Women's Haircut, Hair Color"
Individual Lashes(Volume),Eyelashes
1 week Volume Fill,Eyelashes
"Extensions, Extension Trimming",Extensions
Braidless sewin (4 rows),Extensions
"Shampoo/Style - Relaxed, Semi-Permanent Color",Hair Color
Haircut + HD beard service,Men's Haircut
Box Braids small,Braids
"Silk Press/Blowout, Eyebrow wax",Eyebrows
Full Face Makeup Application,Makeup
"Blowout, Thermal",Style
"Womens cut, Shampoo & Curl",Women's Haircut
"pedicure, Gel polish hands (natural)",Pedicure
"Base Color, Extension Removal, Toner, Blowdry (Shoulder lenght or above), Full Highlights (Really Heavy)",Hair Color
BRAIDS,Braids
"Acrylic Refill (4 weeks & over), Toes Cleaned up & Polished, Cut Down",Manicure
"""Off my Scalp Please!"" Scalp Dermabrasion (styling additional), Aloe me Vera-(Moisture Rescue), Trim","Hair Treatments, Women's Haircut"
"Partial relaxer, demi color, Trim",Weaves
"Natural Style, trim","Natural Hair, Men's Haircut, Women's Haircut"
Cancellation/Rescheduling/ No Show,Braids
"Women's Trim, Shampoo & conditioner, Shampoo & Style (basic styling)",Women's Haircut
"Rinse, twist",Sets & Styles
Color semi/perm,Hair Color
"Sew-In Maintenance, Demi (Semi)  Permanent Coloring, Partial Relaxer",Weaves
"Partial and color, Women's Cut",Women's Haircut
"Brow Wax, Brow Tinting",Eyebrows
"haircut, blowout",Style
"Frontal Sew In, All Over Color","Weaves, Hair Color"
O2 Lift,Skincare
"Acrylic Fill, Polish Change, Nail Art",Manicure
"Lash Extensions Refill, Brow Wax",Eyebrows
"consultation, Klix extensions 1/2 pack, Brazilian blowout",Straightening Treatments
"All Over Color, Haircut with Color Sevice",Hair Color
Classic Re-Lash 5 Pack,Eyelashes
"Haircolor/Root Touch-up, Glaze with a color service, Women's Cut with Blow Dry Style",Hair Color
Partial foil  & cut,"Hair Treatments, Highlights, Women's Haircut"
Natural  Hair Silk Press,Style
"Single Process Color (New Growth), Brazilian Blowout",Straightening Treatments
"Perm, Senior haircut",Chemical Perms
"Root touch up, Wet Cut",Hair Color
Kid's Flat Iron (up to age 11),Style
"Haircut, Rinse",Sets & Styles
Loc Maint' Palm Roll(kids up to 16),Locs
"Sew in Takedown, Full Quick Weave",Weaves
"Re-twist on a Mohawk, Adult Haircut With Beard/Goatee/Mustache, Loc Style","Twists, Women's Haircut, Locs"
"Cornrows, Box braids",Braids
Bronze Package,"Extensions, Weaves"
"Updo, Flexirods",Sets & Styles
"Dry Scalp treatment, THE WASH & GO",Hair Treatments
Tape-In Extension Tightening,Extensions
"blowdry & curl, partial foil highlights",Highlights
"Medium Highlight, Medium Lowlight (as a 2nd CLR), Women's Cut",Women's Haircut
"Men's Cut, Children's Cut (under 10yrs of age)",Men's Haircut
"Balayage, Base Color Change, Add on Cut","Highlights, Hair Color, Women's Haircut"
"Color touch up Haircut Blowdry, Eyebrow wax",Eyebrows
"Babylights only, Haircut",Highlights
Spiral Set,Natural Hair
LED + Peel w/ Facial,Skincare
Powder Gel Full Set,Manicure
"Hair Tint, Summer Cleanse & Go","Hair Color, Style"
Full Head Shave,"Barber, Men's Haircut"
"Personalized Facial, Brow Wax, Lip Wax, K-Beauty Sheet Mask Add-On","Eyebrows, Waxing"
"Medium Box Braids, Extension add on for Indiviuals*, Accessories","Braids, Extensions"
4 Week Quickie Root Touchup,Hair Color
"Express Facial, Eyebrow Shaping",Eyebrows
"Eyebrow Fill-in, Bring your own lashes  and I apply","Eyebrows, Eyelashes"
"Mo Betta Braids, Queen Steam Treatment, Scalp Detox","Braids, Hair Treatments"
Crochet Style,Braids
"Women's Dry Cut, Eye Brow Wax, Lip Wax","Women's Haircut, Eyebrows, Waxing"
"Refill Long/XL, Gel Polish, Partial Bling Fingers, Nail Art, Nail Cut Down",Manicure
"Shampoo and Style, Edge Wipe","Sets & Styles, Chemical Perms"
Man bun Braids,Braids
Smoothing Service,Style
"Mid/Long Styles, Halo Highlight","Men's Haircut, Women's Haircut, Highlights"
"DCT/Moisture Repair Masque, Waves/PinCurls","Hair Treatments, Style"
Ombré/ Nude& White,Manicure
"Chin, Brow Wax",Eyebrows
"Root color, Haircut/Blowdry",Hair Color
"Please Read *Braid down for any Quickweave* Cannot come in already braided, Full Quick Weave ( bobs, long hair)",Weaves
New Client Press,"Natural Hair, Sets & Styles"
Skinny Feed In/Tribal Styles,Braids
Brow Wax (Under 8 weeks),Eyebrows
"Basic Shampoo, Men's Cut, Beard Trim","Sets & Styles, Men's Haircut, Barber"
"Partial Sewin, Removal of braids or sewins",Weaves
"LOC MAINTENANCE  [sun &mon is 4 VIP ONLY], TLC   Extra lock maintenance",Locs
"Color/clear acrylic fill in, Design",Barber
"Dermaplaning, Brow Wax, Light Chemical Peels","Skincare, Eyebrows"
Long braids to the side,Braids
"SILK PRESS, OLAPLEX BOND PERFECTOR (add on)",Hair Treatments
Large MID BACK LENGTH Box Braids,Braids
"Eyelash Fill, Fill In Shrt/Med 2 Nail Art","Eyelashes, Manicure"
"Add on Volume 3D,4D,5D ext",Extensions
"Roller Set, Dry cut",Sets & Styles
Haircut: Short,Men's Haircut
Knotless braids ponytail,Braids
"Demi permanent color, relaxer retouch",Relaxers
"Crochet Curls, Women's Trim","Braids, Women's Haircut"
"Natural Treatments, Braids","Natural Hair, Braids"
"Full Foil, Brow Shape, Women's Haircut",Eyebrows
"Toner, Partial Foil Highlights, Women's Haircut","Hair Color, Highlights, Women's Haircut"
Crown Grooming for women,Women's Haircut
"Gel remover, Gel Nails, Pedicure, Basic Bikini (Female)",Pedicure
Full Brazilian,Waxing
